approach,run_id,timestamp,input_file,output_file,seed,seconds,restarts,top_k,max_optional_candidates,valid,score,cleaned_count,message,runtime_seconds
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_a.txt,outputs\grasp\run_0003_20260620-123007\train_a_seed001.txt,1,10.0,0,4,20000,True,0.676441,33,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_b.txt,outputs\grasp\run_0003_20260620-123007\train_b_seed001.txt,1,10.0,0,4,20000,True,0.967738,28,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_a.txt,outputs\grasp\run_0003_20260620-123007\train_a_seed002.txt,2,10.0,0,4,20000,True,0.673674,33,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_b.txt,outputs\grasp\run_0003_20260620-123007\train_b_seed002.txt,2,10.0,0,4,20000,True,0.967738,28,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_a.txt,outputs\grasp\run_0003_20260620-123007\train_a_seed003.txt,3,10.0,0,4,20000,True,0.685742,33,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_b.txt,outputs\grasp\run_0003_20260620-123007\train_b_seed003.txt,3,10.0,0,4,20000,True,0.967738,28,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_a.txt,outputs\grasp\run_0003_20260620-123007\train_a_seed004.txt,4,10.0,0,4,20000,True,0.679814,33,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_b.txt,outputs\grasp\run_0003_20260620-123007\train_b_seed004.txt,4,10.0,0,4,20000,True,0.967738,28,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_a.txt,outputs\grasp\run_0003_20260620-123007\train_a_seed005.txt,5,10.0,0,4,20000,True,0.674515,33,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_b.txt,outputs\grasp\run_0003_20260620-123007\train_b_seed005.txt,5,10.0,0,4,20000,True,0.967738,28,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_a.txt,outputs\grasp\run_0003_20260620-123007\train_a_seed006.txt,6,10.0,0,4,20000,True,0.674515,33,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_b.txt,outputs\grasp\run_0003_20260620-123007\train_b_seed006.txt,6,10.0,0,4,20000,True,0.967738,28,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_a.txt,outputs\grasp\run_0003_20260620-123007\train_a_seed007.txt,7,10.0,0,4,20000,True,0.673177,32,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_b.txt,outputs\grasp\run_0003_20260620-123007\train_b_seed007.txt,7,10.0,0,4,20000,True,0.967738,28,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_a.txt,outputs\grasp\run_0003_20260620-123007\train_a_seed008.txt,8,10.0,0,4,20000,True,0.675158,34,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_b.txt,outputs\grasp\run_0003_20260620-123007\train_b_seed008.txt,8,10.0,0,4,20000,True,0.967738,28,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_a.txt,outputs\grasp\run_0003_20260620-123007\train_a_seed009.txt,9,10.0,0,4,20000,True,0.669887,34,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_b.txt,outputs\grasp\run_0003_20260620-123007\train_b_seed009.txt,9,10.0,0,4,20000,True,0.967738,28,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_a.txt,outputs\grasp\run_0003_20260620-123007\train_a_seed010.txt,10,10.0,0,4,20000,True,0.693464,34,valid,10.000
grasp,run_0003_20260620-123007,2026-06-20T12:30:07,training\train_b.txt,outputs\grasp\run_0003_20260620-123007\train_b_seed010.txt,10,10.0,0,4,20000,True,0.967738,28,valid,10.000
