200 1200 225514 12 0 0.7
45 64 2 4461 0 C 0
42 45 2 2571 0 C 0
45 138 2 3546 3883 O 30
45 181 2 8927 0 C 0
3 181 2 918 3622 O 30
166 181 2 3267 0 C 0
45 106 2 2603 1219 M 20
62 64 2 6433 2671 O 30
3 161 2 7817 4376 M 20
33 64 2 8109 5115 O 30
4 166 2 767 9721 O 10
32 166 2 7851 1825 M 20
33 99 2 4613 0 C 0
33 111 2 4243 0 C 0
33 95 2 7096 0 C 0
111 129 2 9433 448 O 10
32 48 2 7195 1350 O 30
46 62 2 2653 7398 O 20
48 74 2 7146 6243 O 30
57 99 2 9340 0 C 0
4 5 2 2184 0 C 0
62 75 2 3832 0 C 0
5 90 2 5347 5849 M 20
37 64 2 7080 0 C 0
98 138 2 4684 1591 M 30
111 115 2 8961 333 O 20
32 179 2 1154 0 C 0
32 126 2 5701 0 C 0
92 99 2 3786 0 C 0
22 129 2 2063 6015 O 30
68 106 2 4715 0 C 0
3 188 2 497 0 C 0
57 80 2 864 4788 O 30
80 187 2 7299 914 M 20
98 197 2 8724 1524 O 10
95 190 2 2309 3366 O 30
37 124 2 6166 0 C 0
69 181 2 2846 4621 O 30
123 197 2 3496 489 O 30
3 12 2 7864 352 O 30
29 69 2 577 9641 M 30
141 190 2 3553 0 C 0
20 45 2 9114 9534 M 20
0 90 2 1467 0 C 0
6 33 2 9958 437 M 10
7 92 2 9277 6884 M 20
2 68 2 5220 0 C 0
151 181 2 4767 5715 M 20
33 112 2 1469 0 C 0
5 162 2 9907 1632 O 30
11 69 2 4841 0 C 0
5 91 2 3147 7384 O 30
61 190 2 5409 7652 O 20
44 124 2 9301 9036 O 20
99 105 2 234 2286 O 10
60 166 2 8429 0 C 0
36 111 2 1996 0 C 0
171 190 2 1557 0 C 0
162 180 2 3106 0 C 0
104 166 2 3385 0 C 0
71 91 2 5925 0 C 0
84 161 2 6266 8799 O 20
42 53 2 2885 2160 M 10
105 107 2 1009 0 C 0
24 98 2 7054 8097 M 20
90 186 2 6860 325 M 10
91 150 2 4070 8955 O 20
105 133 2 4371 1458 O 10
104 120 2 3378 8311 O 30
60 66 2 7666 4179 O 20
21 188 2 7786 2987 O 10
108 179 2 5037 5017 M 20
10 151 2 2546 6247 O 10
