30 80 28800 6 0 1.0
11 20 2 2468 4804 M 20
20 23 2 2345 4853 M 20
19 20 2 1383 9121 M 20
3 19 2 2535 6659 M 30
2 3 2 9288 4780 M 30
11 28 2 225 7731 M 10
5 19 2 741 0 C 0
1 11 2 5736 4654 O 20
2 25 2 6113 0 C 0
3 13 2 4528 539 M 30
8 11 2 3233 0 C 0
19 26 2 8232 7220 O 30
8 21 2 4916 0 C 0
0 11 2 7789 0 C 0
16 23 2 3217 0 C 0
3 6 2 7550 0 C 0
22 26 2 7314 9680 M 20
5 18 2 2585 6732 M 20
10 11 2 221 0 C 0
27 28 2 1678 0 C 0
0 7 2 3971 6666 M 10
12 26 2 7221 9916 O 30
18 24 2 8655 0 C 0
2 15 2 6533 8850 O 30
0 9 2 8180 0 C 0
5 17 2 5548 5794 O 20
5 14 2 4529 6548 M 30
4 27 2 1828 0 C 0
10 29 2 317 6404 O 10
24 9 1 9214 5349 O 10
5 20 2 1315 0 C 0
18 26 1 2306 73 O 10
15 16 2 5562 0 C 0
2 11 2 1606 8872 O 30
7 29 2 8760 0 C 0
0 29 2 2850 8207 M 30
26 23 1 5724 5450 O 10
26 9 1 4333 0 C 0
18 23 1 365 7398 O 10
5 11 2 3147 7240 M 30
7 10 1 5083 0 C 0
14 8 1 203 6838 O 30
6 22 2 239 0 C 0
1 8 2 198 0 C 0
18 21 1 3139 9810 O 10
6 11 2 861 4887 O 30
7 20 2 4701 2818 O 20
5 23 1 6935 0 C 0
7 26 2 4089 4584 O 10
19 25 2 4336 0 C 0
22 5 1 5070 6058 O 20
4 18 1 1271 3138 M 20
0 10 2 1587 0 C 0
13 23 2 9248 0 C 0
13 25 2 277 9742 M 30
13 11 1 1598 385 O 30
11 29 2 861 9150 O 20
11 12 1 9352 3884 O 20
13 26 2 4102 0 C 0
21 16 1 2945 8996 O 30
22 21 1 5042 3614 O 10
8 2 1 1510 0 C 0
11 19 1 4629 9776 M 20
4 23 2 7700 0 C 0
3 12 1 2289 7257 O 30
13 28 1 3936 5673 O 30
4 6 1 9764 0 C 0
1 9 1 5041 5765 O 20
3 28 1 454 0 C 0
10 18 2 5993 3219 M 30
12 17 2 376 7434 M 20
10 27 2 4612 973 M 30
25 28 2 5783 7203 O 20
21 26 1 9529 9680 O 30
2 21 2 8713 0 C 0
16 18 2 8472 146 M 10
28 6 1 1647 0 C 0
17 24 1 9698 0 C 0
7 25 2 1257 2345 O 30
25 17 1 1565 696 O 10
S L M M M L
