35 90 28800 10 0 0.0
4 15 2 2440 4084 O 20
4 29 2 7148 0 C 0
5 29 2 8372 0 C 0
23 29 2 5171 0 C 0
10 23 2 3111 0 C 0
10 14 2 6117 0 C 0
15 32 2 7009 0 C 0
12 15 2 476 0 C 0
5 27 2 6555 0 C 0
10 21 2 9080 8998 M 10
15 33 2 1321 0 C 0
0 12 2 811 6731 O 20
22 33 2 2271 4689 M 20
8 15 2 803 9012 M 10
27 28 2 2798 7736 M 20
7 15 2 5631 4616 M 20
14 34 2 4191 0 C 0
19 28 2 4263 6655 O 30
13 34 2 3911 0 C 0
22 30 2 4929 7916 M 30
21 24 2 6462 1961 M 10
6 8 2 2649 1231 O 10
16 19 2 8202 8144 M 30
1 8 2 3605 7421 M 20
18 33 2 7373 0 C 0
11 27 2 7003 0 C 0
31 32 2 2288 0 C 0
17 18 2 8975 0 C 0
10 26 2 3153 3999 M 10
2 6 2 2863 5602 O 30
1 3 2 1493 5231 O 10
25 28 2 6035 0 C 0
9 10 2 4233 9332 M 10
13 20 2 330 0 C 0
6 26 2 6273 6781 M 30
2 29 1 6175 0 C 0
33 34 2 1017 8161 M 20
12 21 2 2063 8247 O 30
10 13 1 1518 0 C 0
14 25 1 6301 7304 M 20
8 30 2 358 0 C 0
6 11 1 529 0 C 0
23 27 2 9621 0 C 0
9 23 2 3 0 C 0
0 4 1 6415 0 C 0
1 19 2 4071 1786 M 10
17 12 1 2492 7492 O 10
12 11 1 23 0 C 0
17 6 1 9329 0 C 0
1 18 2 2097 0 C 0
24 32 2 8655 0 C 0
0 14 2 1838 0 C 0
12 34 1 1153 8592 M 30
11 33 1 6359 3663 O 30
7 30 1 172 7547 M 20
3 30 2 3971 0 C 0
16 22 2 8623 0 C 0
18 2 1 8963 0 C 0
20 27 1 6748 906 O 10
4 25 1 8165 1328 M 20
28 34 1 6953 0 C 0
17 7 1 8077 0 C 0
0 9 2 6891 5936 O 30
4 28 2 3246 0 C 0
32 16 1 4786 0 C 0
23 17 1 8122 5107 O 10
21 15 1 7621 4342 M 20
16 1 1 8123 3658 O 20
1 20 2 925 9745 M 10
4 34 2 891 0 C 0
30 11 1 388 6805 M 10
0 21 1 3017 0 C 0
26 32 2 5148 1854 O 10
13 7 1 5395 3039 M 30
13 33 2 523 5108 M 30
7 10 2 6126 0 C 0
8 14 2 7249 2773 O 10
13 29 1 1282 0 C 0
27 32 1 5759 0 C 0
29 12 1 9194 6228 M 20
5 17 2 7086 1437 O 10
21 30 2 3207 6106 M 30
14 31 2 3163 0 C 0
15 30 2 5968 7774 O 10
7 11 2 4064 6631 M 10
3 5 2 572 7603 M 10
20 16 1 4211 1029 O 30
27 34 2 5947 4461 M 20
0 17 1 4296 0 C 0
15 22 2 4873 61 O 30
L L S S S S M L M M
