35 90 28800 7 0 0.5
6 29 2 9506 0 C 0
23 29 2 366 8444 O 10
24 29 2 1439 7674 O 30
24 32 2 2346 0 C 0
1 32 2 3239 8755 O 20
2 23 2 2359 1557 O 30
1 13 2 7379 0 C 0
10 23 2 5232 7038 O 10
0 1 2 5733 7084 O 10
7 10 2 1488 6417 M 10
6 20 2 3724 0 C 0
7 9 2 5279 0 C 0
24 30 2 3996 4071 M 30
1 26 2 1939 1713 M 20
7 28 2 9455 0 C 0
11 13 2 4392 8567 O 10
21 23 2 9524 0 C 0
0 31 2 3593 2467 O 30
9 12 2 580 2393 O 10
8 31 2 1806 3812 M 30
0 15 2 954 7137 O 20
22 26 2 3038 1295 M 30
0 3 2 4780 9965 O 20
1 18 2 1600 7477 O 10
19 22 2 4801 2749 O 20
3 5 2 6792 7164 O 10
27 32 2 5491 7511 O 30
1 33 2 5911 6781 M 30
30 34 2 1525 3041 M 20
11 17 2 6880 6268 M 20
7 25 2 3326 3661 O 10
4 30 2 7277 0 C 0
10 14 2 1881 3036 M 10
16 20 2 5444 5125 M 20
34 11 1 3602 7148 O 30
11 16 2 1751 8894 M 10
8 4 1 2149 3244 M 20
21 31 1 1954 0 C 0
7 13 2 2787 0 C 0
6 11 1 6265 8309 O 30
11 29 1 2953 0 C 0
6 32 1 9960 1020 O 20
21 29 2 7128 0 C 0
16 32 2 8024 0 C 0
6 27 1 2044 7830 M 30
20 3 1 148 0 C 0
12 13 1 7863 3588 M 20
27 28 1 8986 0 C 0
10 31 1 3661 2119 O 10
1 19 2 2381 8803 M 30
30 5 1 8433 0 C 0
11 32 1 4059 3377 O 20
13 0 1 3016 0 C 0
8 19 1 4561 7443 O 10
28 21 1 265 6447 O 30
25 9 1 4357 1561 O 10
9 18 2 5190 0 C 0
6 34 2 3308 0 C 0
23 25 1 6395 6218 M 30
18 15 1 6894 9051 O 20
22 11 1 1811 0 C 0
0 16 2 991 0 C 0
7 11 2 33 7835 O 10
11 12 2 4133 0 C 0
29 31 2 7390 977 O 20
15 31 1 86 0 C 0
5 10 2 5908 5433 O 10
31 3 1 6706 0 C 0
2 21 2 6422 0 C 0
5 20 2 7115 5566 O 20
13 28 2 8026 9866 M 30
30 26 1 4596 5240 M 20
11 33 2 4413 8446 O 20
0 17 2 419 308 O 30
17 18 2 9859 4975 O 10
16 25 2 908 5165 M 30
6 8 2 7914 9787 O 30
21 32 2 8738 0 C 0
22 34 2 6535 4819 O 10
16 27 2 8962 433 M 10
30 21 1 717 0 C 0
6 2 1 1086 0 C 0
13 25 2 2628 6468 O 20
0 32 2 1717 4910 O 30
30 29 1 4303 6340 O 30
10 18 2 9412 2368 O 10
34 27 1 1601 6172 M 20
1 22 1 5026 3033 O 30
25 1 1 3854 9009 M 20
2 14 2 8508 7858 O 20
M S M M S L L
