22 62 40621 4 0 0.5
1 5 2 3267 9939 O 10
5 9 2 5128 7001 O 30
7 9 2 9326 0 C 0
8 9 2 6132 2566 O 10
8 17 2 2067 0 C 0
5 10 2 7795 5722 O 20
7 19 2 7255 4103 O 20
6 19 2 6739 931 O 10
10 13 2 7930 9067 O 10
4 8 2 7599 0 C 0
12 13 2 5016 324 O 30
4 14 2 1494 8879 M 10
3 12 2 5015 0 C 0
5 21 2 7858 2085 O 10
9 15 2 3408 0 C 0
11 14 2 1673 3414 M 20
9 18 2 6712 8519 O 20
13 20 2 7663 8282 O 20
0 13 2 1094 4966 O 30
8 16 2 8293 0 C 0
2 17 2 6866 0 C 0
15 11 1 9685 6186 O 30
16 21 1 5656 6449 M 20
14 15 2 6789 9322 O 20
2 1 1 5599 0 C 0
0 8 2 6383 0 C 0
4 21 2 8474 0 C 0
20 7 1 1326 9960 M 30
2 8 2 5635 0 C 0
5 11 2 1010 0 C 0
9 11 1 6246 0 C 0
3 11 2 789 7520 M 10
16 3 1 5692 0 C 0
12 19 1 3558 0 C 0
14 16 2 8827 0 C 0
6 12 1 1646 0 C 0
18 21 1 4334 0 C 0
17 14 1 3649 2612 O 10
6 20 2 4297 8381 O 10
3 7 2 2784 0 C 0
14 18 2 2591 1437 M 30
3 15 1 515 1610 M 30
4 17 2 220 6569 M 30
5 19 2 6391 2529 O 20
6 17 2 2579 0 C 0
3 9 1 8285 0 C 0
13 9 1 5751 6731 O 30
5 20 2 1151 0 C 0
6 15 2 7633 0 C 0
5 15 2 92 8534 M 10
14 9 1 2310 0 C 0
15 4 1 6751 0 C 0
0 20 2 1147 0 C 0
11 13 1 4213 5749 O 20
1 3 2 668 6429 O 20
6 8 2 991 3601 O 30
14 20 2 2716 0 C 0
12 21 2 2625 0 C 0
18 10 1 2052 0 C 0
4 19 2 2484 5603 M 20
18 0 1 3602 0 C 0
11 12 1 3681 2712 O 10
L M S M
